year,state,type_of_crime,is_high_impact,total
2016,Tlaxcala,Feminicidio,1,2
2016,Tlaxcala,Extorsión,1,0
2016,Veracruz de Ignacio de la Llave,Otros Delitos Contra el Patrimonio,0,17685
2016,Veracruz de Ignacio de la Llave,Otros Delitos,0,11934
2016,Veracruz de Ignacio de la Llave,Robo con violencia,1,5402
2016,Veracruz de Ignacio de la Llave,Violencia familiar,1,4771
2016,Veracruz de Ignacio de la Llave,Homicidio,1,1817
2016,Veracruz de Ignacio de la Llave,Delitos Sexuales,0,262
2016,Veracruz de Ignacio de la Llave,Extorsión,1,192
2016,Veracruz de Ignacio de la Llave,Secuestro,1,132
2016,Veracruz de Ignacio de la Llave,Narcomenudeo,1,59
2016,Veracruz de Ignacio de la Llave,Feminicidio,1,58
2016,Yucatán,Otros Delitos,0,19751
2016,Yucatán,Otros Delitos Contra el Patrimonio,0,11050
2016,Yucatán,Violencia familiar,1,2270
2016,Yucatán,Delitos Sexuales,0,664
2016,Yucatán,Narcomenudeo,1,270
2016,Yucatán,Robo con violencia,1,114
2016,Yucatán,Homicidio,1,110
2016,Yucatán,Extorsión,1,57
2016,Yucatán,Feminicidio,1,1
2016,Yucatán,Secuestro,1,1
2016,Zacatecas,Otros Delitos Contra el Patrimonio,0,8629
2016,Zacatecas,Otros Delitos,0,4720
2016,Zacatecas,Robo con violencia,1,1599
2016,Zacatecas,Violencia familiar,1,1075
2016,Zacatecas,Homicidio,1,609
2016,Zacatecas,Delitos Sexuales,0,259
2016,Zacatecas,Narcomenudeo,1,116
2016,Zacatecas,Extorsión,1,81
2016,Zacatecas,Secuestro,1,37
2016,Zacatecas,Feminicidio,1,11
2017,Aguascalientes,Otros Delitos Contra el Patrimonio,0,19931
2017,Aguascalientes,Otros Delitos,0,9910
2017,Aguascalientes,Robo con violencia,1,1122
2017,Aguascalientes,Violencia familiar,1,1102
2017,Aguascalientes,Narcomenudeo,1,842
2017,Aguascalientes,Homicidio,1,258
2017,Aguascalientes,Delitos Sexuales,0,256
2017,Aguascalientes,Extorsión,1,121
2017,Aguascalientes,Secuestro,1,6
2017,Aguascalientes,Feminicidio,1,0
2017,Baja California,Otros Delitos Contra el Patrimonio,0,50390
2017,Baja California,Otros Delitos,0,29604
2017,Baja California,Robo con violencia,1,12544
2017,Baja California,Violencia familiar,1,8554
2017,Baja California,Narcomenudeo,1,5745
2017,Baja California,Homicidio,1,2430
2017,Baja California,Delitos Sexuales,0,2233
2017,Baja California,Extorsión,1,198
2017,Baja California,Secuestro,1,13
2017,Baja California,Feminicidio,1,11
2017,Baja California Sur,Otros Delitos Contra el Patrimonio,0,13624
2017,Baja California Sur,Otros Delitos,0,5532
2017,Baja California Sur,Violencia familiar,1,1982
2017,Baja California Sur,Robo con violencia,1,1037
2017,Baja California Sur,Homicidio,1,693
2017,Baja California Sur,Narcomenudeo,1,644
2017,Baja California Sur,Delitos Sexuales,0,432
2017,Baja California Sur,Extorsión,1,227
2017,Baja California Sur,Secuestro,1,3
2017,Baja California Sur,Feminicidio,1,0
2017,Campeche,Otros Delitos Contra el Patrimonio,0,922
2017,Campeche,Otros Delitos,0,406
2017,Campeche,Delitos Sexuales,0,190
2017,Campeche,Narcomenudeo,1,152
2017,Campeche,Robo con violencia,1,150
2017,Campeche,Homicidio,1,142
2017,Campeche,Violencia familiar,1,65
2017,Campeche,Extorsión,1,22
2017,Campeche,Secuestro,1,6
2017,Campeche,Feminicidio,1,1
2017,Chiapas,Otros Delitos Contra el Patrimonio,0,7113
2017,Chiapas,Otros Delitos,0,6262
2017,Chiapas,Robo con violencia,1,5268
2017,Chiapas,Violencia familiar,1,3506
2017,Chiapas,Homicidio,1,1353
2017,Chiapas,Delitos Sexuales,0,928
2017,Chiapas,Narcomenudeo,1,725
2017,Chiapas,Extorsión,1,159
2017,Chiapas,Feminicidio,1,29
2017,Chiapas,Secuestro,1,21
2017,Chihuahua,Otros Delitos Contra el Patrimonio,0,27022
2017,Chihuahua,Otros Delitos,0,15955
2017,Chihuahua,Violencia familiar,1,11583
2017,Chihuahua,Narcomenudeo,1,8019
2017,Chihuahua,Delitos Sexuales,0,2341
2017,Chihuahua,Robo con violencia,1,1949
2017,Chihuahua,Homicidio,1,1908
2017,Chihuahua,Extorsión,1,16
2017,Chihuahua,Secuestro,1,15
2017,Chihuahua,Feminicidio,1,11
2017,Ciudad de México,Otros Delitos Contra el Patrimonio,0,111562
2017,Ciudad de México,Otros Delitos,0,38653
2017,Ciudad de México,Robo con violencia,1,28456
2017,Ciudad de México,Violencia familiar,1,18360
2017,Ciudad de México,Narcomenudeo,1,2625
2017,Ciudad de México,Delitos Sexuales,0,2039
2017,Ciudad de México,Homicidio,1,1816
2017,Ciudad de México,Extorsión,1,490
2017,Ciudad de México,Secuestro,1,40
2017,Ciudad de México,Feminicidio,1,37
2017,Coahuila de Zaragoza,Otros Delitos,0,21311
2017,Coahuila de Zaragoza,Otros Delitos Contra el Patrimonio,0,19832
2017,Coahuila de Zaragoza,Violencia familiar,1,8968
2017,Coahuila de Zaragoza,Narcomenudeo,1,3256
2017,Coahuila de Zaragoza,Robo con violencia,1,1471
2017,Coahuila de Zaragoza,Delitos Sexuales,0,954
2017,Coahuila de Zaragoza,Homicidio,1,476
2017,Coahuila de Zaragoza,Extorsión,1,21
2017,Coahuila de Zaragoza,Secuestro,1,13
2017,Coahuila de Zaragoza,Feminicidio,1,9
2017,Colima,Otros Delitos Contra el Patrimonio,0,12252
2017,Colima,Otros Delitos,0,6682
2017,Colima,Violencia familiar,1,2299
2017,Colima,Robo con violencia,1,1136
2017,Colima,Narcomenudeo,1,939
2017,Colima,Homicidio,1,789
2017,Colima,Delitos Sexuales,0,304
2017,Colima,Extorsión,1,16
2017,Colima,Feminicidio,1,4
2017,Colima,Secuestro,1,4
2017,Durango,Otros Delitos Contra el Patrimonio,0,17088
2017,Durango,Otros Delitos,0,9746
2017,Durango,Violencia familiar,1,5196
2017,Durango,Robo con violencia,1,1001
2017,Durango,Narcomenudeo,1,788
2017,Durango,Delitos Sexuales,0,495
2017,Durango,Homicidio,1,441
2017,Durango,Extorsión,1,72
2017,Durango,Secuestro,1,15
2017,Durango,Feminicidio,1,9
2017,Guanajuato,Otros Delitos Contra el Patrimonio,0,43311
2017,Guanajuato,Otros Delitos,0,41574
2017,Guanajuato,Violencia familiar,1,11253
2017,Guanajuato,Robo con violencia,1,10257
2017,Guanajuato,Narcomenudeo,1,6567
2017,Guanajuato,Homicidio,1,3366
2017,Guanajuato,Delitos Sexuales,0,1509
2017,Guanajuato,Feminicidio,1,12
2017,Guanajuato,Extorsión,1,4
2017,Guanajuato,Secuestro,1,4
2017,Guerrero,Otros Delitos,0,12424
2017,Guerrero,Otros Delitos Contra el Patrimonio,0,8140
2017,Guerrero,Robo con violencia,1,5530
2017,Guerrero,Homicidio,1,2868
2017,Guerrero,Violencia familiar,1,2696
2017,Guerrero,Delitos Sexuales,0,493
2017,Guerrero,Narcomenudeo,1,381
2017,Guerrero,Extorsión,1,175
2017,Guerrero,Secuestro,1,69
2017,Guerrero,Feminicidio,1,21
2017,Hidalgo,Otros Delitos Contra el Patrimonio,0,18323
2017,Hidalgo,Otros Delitos,0,15428
2017,Hidalgo,Violencia familiar,1,4417
2017,Hidalgo,Robo con violencia,1,3634
2017,Hidalgo,Delitos Sexuales,0,1029
2017,Hidalgo,Homicidio,1,700
2017,Hidalgo,Narcomenudeo,1,256
2017,Hidalgo,Extorsión,1,133
2017,Hidalgo,Feminicidio,1,22
2017,Hidalgo,Secuestro,1,21
2017,Jalisco,Otros Delitos Contra el Patrimonio,0,80630
2017,Jalisco,Otros Delitos,0,38238
2017,Jalisco,Robo con violencia,1,30525
2017,Jalisco,Violencia familiar,1,9557
2017,Jalisco,Delitos Sexuales,0,3076
2017,Jalisco,Homicidio,1,2109
2017,Jalisco,Narcomenudeo,1,1868
2017,Jalisco,Extorsión,1,556
2017,Jalisco,Feminicidio,1,27
2017,Jalisco,Secuestro,1,13
2017,Michoacán de Ocampo,Otros Delitos Contra el Patrimonio,0,16267
2017,Michoacán de Ocampo,Otros Delitos,0,12531
2017,Michoacán de Ocampo,Robo con violencia,1,6884
2017,Michoacán de Ocampo,Homicidio,1,2246
2017,Michoacán de Ocampo,Narcomenudeo,1,2016
2017,Michoacán de Ocampo,Violencia familiar,1,1158
2017,Michoacán de Ocampo,Delitos Sexuales,0,655
2017,Michoacán de Ocampo,Feminicidio,1,29
2017,Michoacán de Ocampo,Secuestro,1,29
2017,Michoacán de Ocampo,Extorsión,1,21
2017,Morelos,Otros Delitos Contra el Patrimonio,0,19427
2017,Morelos,Otros Delitos,0,12209
2017,Morelos,Violencia familiar,1,5069
2017,Morelos,Robo con violencia,1,4967
2017,Morelos,Delitos Sexuales,0,941
2017,Morelos,Homicidio,1,828
2017,Morelos,Narcomenudeo,1,776
2017,Morelos,Extorsión,1,43
2017,Morelos,Secuestro,1,42
2017,Morelos,Feminicidio,1,27
2017,México,Otros Delitos,0,141613
2017,México,Robo con violencia,1,93723
2017,México,Otros Delitos Contra el Patrimonio,0,93584
2017,México,Violencia familiar,1,6860
2017,México,Delitos Sexuales,0,3957
2017,México,Homicidio,1,3248
2017,México,Extorsión,1,1385
2017,México,Narcomenudeo,1,1080
2017,México,Secuestro,1,173
2017,México,Feminicidio,1,70
2017,Nayarit,Otros Delitos,0,1247
2017,Nayarit,Otros Delitos Contra el Patrimonio,0,773
2017,Nayarit,Violencia familiar,1,432
2017,Nayarit,Homicidio,1,289
2017,Nayarit,Narcomenudeo,1,269
2017,Nayarit,Robo con violencia,1,121
2017,Nayarit,Delitos Sexuales,0,81
2017,Nayarit,Feminicidio,1,5
2017,Nayarit,Secuestro,1,2
2017,Nayarit,Extorsión,1,1
2017,Nuevo León,Otros Delitos,0,28028
2017,Nuevo León,Otros Delitos Contra el Patrimonio,0,27961
2017,Nuevo León,Violencia familiar,1,17145
2017,Nuevo León,Robo con violencia,1,4398
2017,Nuevo León,Narcomenudeo,1,2599
2017,Nuevo León,Delitos Sexuales,0,1988
2017,Nuevo León,Homicidio,1,1099
2017,Nuevo León,Extorsión,1,678
2017,Nuevo León,Feminicidio,1,43
2017,Nuevo León,Secuestro,1,35
2017,Oaxaca,Otros Delitos Contra el Patrimonio,0,11850
2017,Oaxaca,Otros Delitos,0,9160
2017,Oaxaca,Violencia familiar,1,4212
2017,Oaxaca,Robo con violencia,1,3782
2017,Oaxaca,Homicidio,1,1662
2017,Oaxaca,Delitos Sexuales,0,838
2017,Oaxaca,Narcomenudeo,1,246
2017,Oaxaca,Extorsión,1,80
2017,Oaxaca,Feminicidio,1,57
2017,Oaxaca,Secuestro,1,51
2017,Puebla,Otros Delitos Contra el Patrimonio,0,19891
2017,Puebla,Robo con violencia,1,14862
2017,Puebla,Otros Delitos,0,9434
2017,Puebla,Violencia familiar,1,6327
2017,Puebla,Homicidio,1,1647
2017,Puebla,Delitos Sexuales,0,749
2017,Puebla,Narcomenudeo,1,713
2017,Puebla,Extorsión,1,115
2017,Puebla,Secuestro,1,35
2017,Puebla,Feminicidio,1,27
2017,Querétaro,Otros Delitos Contra el Patrimonio,0,33280
2017,Querétaro,Otros Delitos,0,14009
2017,Querétaro,Robo con violencia,1,2682
2017,Querétaro,Violencia familiar,1,1186
2017,Querétaro,Narcomenudeo,1,942
2017,Querétaro,Delitos Sexuales,0,779
2017,Querétaro,Homicidio,1,471
2017,Querétaro,Extorsión,1,18
2017,Querétaro,Secuestro,1,11
2017,Querétaro,Feminicidio,1,1
2017,Quintana Roo,Otros Delitos Contra el Patrimonio,0,14363
2017,Quintana Roo,Otros Delitos,0,5366
2017,Quintana Roo,Violencia familiar,1,2633
2017,Quintana Roo,Robo con violencia,1,2614
2017,Quintana Roo,Delitos Sexuales,0,611
2017,Quintana Roo,Homicidio,1,497
2017,Quintana Roo,Narcomenudeo,1,333
2017,Quintana Roo,Extorsión,1,77
2017,Quintana Roo,Secuestro,1,20
2017,Quintana Roo,Feminicidio,1,4
2017,San Luis Potosí,Otros Delitos Contra el Patrimonio,0,15226
2017,San Luis Potosí,Otros Delitos,0,9298
2017,San Luis Potosí,Violencia familiar,1,5723
2017,San Luis Potosí,Robo con violencia,1,2777
2017,San Luis Potosí,Delitos Sexuales,0,977
2017,San Luis Potosí,Homicidio,1,712
2017,San Luis Potosí,Narcomenudeo,1,269
2017,San Luis Potosí,Extorsión,1,151
2017,San Luis Potosí,Secuestro,1,28
2017,San Luis Potosí,Feminicidio,1,18
2017,Sinaloa,Otros Delitos Contra el Patrimonio,0,7753
2017,Sinaloa,Otros Delitos,0,4721
2017,Sinaloa,Robo con violencia,1,4622
2017,Sinaloa,Violencia familiar,1,2612
2017,Sinaloa,Homicidio,1,1839
2017,Sinaloa,Narcomenudeo,1,857
2017,Sinaloa,Delitos Sexuales,0,380
2017,Sinaloa,Feminicidio,1,82
2017,Sinaloa,Extorsión,1,51
2017,Sinaloa,Secuestro,1,14
2017,Sonora,Otros Delitos Contra el Patrimonio,0,8968
2017,Sonora,Otros Delitos,0,7124
2017,Sonora,Robo con violencia,1,4675
2017,Sonora,Violencia familiar,1,2428
2017,Sonora,Homicidio,1,1149
2017,Sonora,Narcomenudeo,1,936
2017,Sonora,Delitos Sexuales,0,620
2017,Sonora,Extorsión,1,35
2017,Sonora,Feminicidio,1,32
2017,Sonora,Secuestro,1,2
2017,Tabasco,Otros Delitos,0,21169
2017,Tabasco,Otros Delitos Contra el Patrimonio,0,20099
2017,Tabasco,Robo con violencia,1,10586
2017,Tabasco,Violencia familiar,1,6596
2017,Tabasco,Homicidio,1,888
2017,Tabasco,Delitos Sexuales,0,653
2017,Tabasco,Extorsión,1,258
2017,Tabasco,Secuestro,1,77
2017,Tabasco,Narcomenudeo,1,41
2017,Tabasco,Feminicidio,1,28
2017,Tamaulipas,Otros Delitos Contra el Patrimonio,0,17277
2017,Tamaulipas,Otros Delitos,0,13616
2017,Tamaulipas,Violencia familiar,1,7030
2017,Tamaulipas,Robo con violencia,1,5953
2017,Tamaulipas,Homicidio,1,1618
2017,Tamaulipas,Delitos Sexuales,0,990
2017,Tamaulipas,Narcomenudeo,1,351
2017,Tamaulipas,Extorsión,1,182
2017,Tamaulipas,Secuestro,1,140
2017,Tamaulipas,Feminicidio,1,6
2017,Tlaxcala,Otros Delitos Contra el Patrimonio,0,3656
2017,Tlaxcala,Robo con violencia,1,2066
2017,Tlaxcala,Otros Delitos,0,752
2017,Tlaxcala,Homicidio,1,318
2017,Tlaxcala,Delitos Sexuales,0,81
2017,Tlaxcala,Narcomenudeo,1,48
2017,Tlaxcala,Violencia familiar,1,24
2017,Tlaxcala,Extorsión,1,8
2017,Tlaxcala,Secuestro,1,8
2017,Tlaxcala,Feminicidio,1,3
2017,Veracruz de Ignacio de la Llave,Otros Delitos Contra el Patrimonio,0,25006
2017,Veracruz de Ignacio de la Llave,Otros Delitos,0,17666
2017,Veracruz de Ignacio de la Llave,Robo con violencia,1,12911
2017,Veracruz de Ignacio de la Llave,Violencia familiar,1,6326
2017,Veracruz de Ignacio de la Llave,Homicidio,1,2688
2017,Veracruz de Ignacio de la Llave,Extorsión,1,609
2017,Veracruz de Ignacio de la Llave,Delitos Sexuales,0,605
2017,Veracruz de Ignacio de la Llave,Narcomenudeo,1,296
2017,Veracruz de Ignacio de la Llave,Secuestro,1,172
2017,Veracruz de Ignacio de la Llave,Feminicidio,1,100
2017,Yucatán,Otros Delitos,0,12647
2017,Yucatán,Otros Delitos Contra el Patrimonio,0,7866
2017,Yucatán,Violencia familiar,1,2670
2017,Yucatán,Delitos Sexuales,0,644
2017,Yucatán,Narcomenudeo,1,370
2017,Yucatán,Homicidio,1,85
2017,Yucatán,Robo con violencia,1,66
2017,Yucatán,Extorsión,1,33
2017,Yucatán,Feminicidio,1,9
2017,Yucatán,Secuestro,1,0
2017,Zacatecas,Otros Delitos Contra el Patrimonio,0,8864
2017,Zacatecas,Otros Delitos,0,5094
2017,Zacatecas,Robo con violencia,1,1775
2017,Zacatecas,Violencia familiar,1,1610
2017,Zacatecas,Homicidio,1,690
2017,Zacatecas,Delitos Sexuales,0,343
2017,Zacatecas,Narcomenudeo,1,232
2017,Zacatecas,Extorsión,1,188
2017,Zacatecas,Secuestro,1,67
2017,Zacatecas,Feminicidio,1,11
2018,Aguascalientes,Otros Delitos Contra el Patrimonio,0,21663
2018,Aguascalientes,Otros Delitos,0,11850
2018,Aguascalientes,Narcomenudeo,1,1716
2018,Aguascalientes,Violencia familiar,1,1610
2018,Aguascalientes,Robo con violencia,1,1245
2018,Aguascalientes,Delitos Sexuales,0,315
2018,Aguascalientes,Homicidio,1,283
2018,Aguascalientes,Extorsión,1,138
2018,Aguascalientes,Secuestro,1,10
2018,Aguascalientes,Feminicidio,1,4
2018,Baja California,Otros Delitos Contra el Patrimonio,0,42468
2018,Baja California,Otros Delitos,0,27179
2018,Baja California,Robo con violencia,1,9908
2018,Baja California,Violencia familiar,1,9904
2018,Baja California,Narcomenudeo,1,7855
2018,Baja California,Homicidio,1,3169
2018,Baja California,Delitos Sexuales,0,2368
2018,Baja California,Extorsión,1,135
2018,Baja California,Feminicidio,1,27
2018,Baja California,Secuestro,1,15
2018,Baja California Sur,Otros Delitos Contra el Patrimonio,0,12989
2018,Baja California Sur,Otros Delitos,0,5857
2018,Baja California Sur,Violencia familiar,1,2110
2018,Baja California Sur,Robo con violencia,1,924
2018,Baja California Sur,Narcomenudeo,1,641
2018,Baja California Sur,Delitos Sexuales,0,475
2018,Baja California Sur,Homicidio,1,244
2018,Baja California Sur,Extorsión,1,198
2018,Baja California Sur,Feminicidio,1,0
2018,Baja California Sur,Secuestro,1,0
2018,Campeche,Otros Delitos Contra el Patrimonio,0,953
2018,Campeche,Otros Delitos,0,422
2018,Campeche,Delitos Sexuales,0,228
2018,Campeche,Robo con violencia,1,226
2018,Campeche,Homicidio,1,155
2018,Campeche,Narcomenudeo,1,90
2018,Campeche,Violencia familiar,1,52
2018,Campeche,Extorsión,1,18
2018,Campeche,Secuestro,1,8
2018,Campeche,Feminicidio,1,5
2018,Chiapas,Otros Delitos Contra el Patrimonio,0,7587
2018,Chiapas,Otros Delitos,0,6400
2018,Chiapas,Violencia familiar,1,6032
2018,Chiapas,Robo con violencia,1,5528
2018,Chiapas,Homicidio,1,1279
2018,Chiapas,Delitos Sexuales,0,928
2018,Chiapas,Narcomenudeo,1,909
2018,Chiapas,Extorsión,1,184
2018,Chiapas,Secuestro,1,24
2018,Chiapas,Feminicidio,1,21
2018,Chihuahua,Otros Delitos Contra el Patrimonio,0,26731
2018,Chihuahua,Otros Delitos,0,17198
2018,Chihuahua,Violencia familiar,1,11227
2018,Chihuahua,Narcomenudeo,1,7532
2018,Chihuahua,Delitos Sexuales,0,2495
2018,Chihuahua,Homicidio,1,2089
2018,Chihuahua,Robo con violencia,1,1562
2018,Chihuahua,Feminicidio,1,44
2018,Chihuahua,Secuestro,1,10
2018,Chihuahua,Extorsión,1,8
2018,Ciudad de México,Otros Delitos Contra el Patrimonio,0,125864
2018,Ciudad de México,Robo con violencia,1,42686
2018,Ciudad de México,Otros Delitos,0,39327
2018,Ciudad de México,Violencia familiar,1,19929
2018,Ciudad de México,Narcomenudeo,1,5974
2018,Ciudad de México,Delitos Sexuales,0,4407
2018,Ciudad de México,Homicidio,1,1979
2018,Ciudad de México,Extorsión,1,536
2018,Ciudad de México,Secuestro,1,280
2018,Ciudad de México,Feminicidio,1,47
2018,Coahuila de Zaragoza,Otros Delitos,0,18776
2018,Coahuila de Zaragoza,Otros Delitos Contra el Patrimonio,0,18449
2018,Coahuila de Zaragoza,Violencia familiar,1,9791
2018,Coahuila de Zaragoza,Narcomenudeo,1,6490
2018,Coahuila de Zaragoza,Delitos Sexuales,0,1142
2018,Coahuila de Zaragoza,Robo con violencia,1,1124
2018,Coahuila de Zaragoza,Homicidio,1,479
2018,Coahuila de Zaragoza,Extorsión,1,32
2018,Coahuila de Zaragoza,Feminicidio,1,13
2018,Coahuila de Zaragoza,Secuestro,1,11
2018,Colima,Otros Delitos Contra el Patrimonio,0,11814
2018,Colima,Otros Delitos,0,6923
2018,Colima,Violencia familiar,1,2453
2018,Colima,Narcomenudeo,1,1148
2018,Colima,Robo con violencia,1,1015
2018,Colima,Homicidio,1,726
2018,Colima,Delitos Sexuales,0,331
2018,Colima,Extorsión,1,55
2018,Colima,Secuestro,1,17
2018,Colima,Feminicidio,1,12
2018,Durango,Otros Delitos Contra el Patrimonio,0,15478
2018,Durango,Otros Delitos,0,7629
2018,Durango,Violencia familiar,1,5595
2018,Durango,Narcomenudeo,1,1079
2018,Durango,Robo con violencia,1,1016
2018,Durango,Delitos Sexuales,0,614
2018,Durango,Homicidio,1,408
2018,Durango,Extorsión,1,74
2018,Durango,Secuestro,1,6
2018,Durango,Feminicidio,1,4
2018,Guanajuato,Otros Delitos Contra el Patrimonio,0,48413
2018,Guanajuato,Otros Delitos,0,47413
2018,Guanajuato,Robo con violencia,1,12737
2018,Guanajuato,Violencia familiar,1,10356
2018,Guanajuato,Narcomenudeo,1,8739
2018,Guanajuato,Homicidio,1,4298
2018,Guanajuato,Delitos Sexuales,0,1755
2018,Guanajuato,Feminicidio,1,21
2018,Guanajuato,Extorsión,1,13
2018,Guanajuato,Secuestro,1,4
2018,Guerrero,Otros Delitos,0,9010
2018,Guerrero,Otros Delitos Contra el Patrimonio,0,7352
2018,Guerrero,Robo con violencia,1,4733
2018,Guerrero,Violencia familiar,1,2834
2018,Guerrero,Homicidio,1,2716
2018,Guerrero,Delitos Sexuales,0,478
2018,Guerrero,Narcomenudeo,1,281
2018,Guerrero,Extorsión,1,202
2018,Guerrero,Secuestro,1,57
2018,Guerrero,Feminicidio,1,33
2018,Hidalgo,Otros Delitos,0,20587
2018,Hidalgo,Otros Delitos Contra el Patrimonio,0,18577
2018,Hidalgo,Violencia familiar,1,5083
2018,Hidalgo,Robo con violencia,1,4609
2018,Hidalgo,Delitos Sexuales,0,1180
2018,Hidalgo,Homicidio,1,733
2018,Hidalgo,Narcomenudeo,1,270
2018,Hidalgo,Extorsión,1,142
2018,Hidalgo,Secuestro,1,21
2018,Hidalgo,Feminicidio,1,20
2018,Jalisco,Otros Delitos Contra el Patrimonio,0,78969
2018,Jalisco,Otros Delitos,0,37215
2018,Jalisco,Robo con violencia,1,28849
2018,Jalisco,Violencia familiar,1,8850
2018,Jalisco,Delitos Sexuales,0,2897
2018,Jalisco,Homicidio,1,2761
2018,Jalisco,Narcomenudeo,1,2387
2018,Jalisco,Extorsión,1,778
2018,Jalisco,Feminicidio,1,34
2018,Jalisco,Secuestro,1,16
2018,Michoacán de Ocampo,Otros Delitos Contra el Patrimonio,0,16923
2018,Michoacán de Ocampo,Otros Delitos,0,14311
2018,Michoacán de Ocampo,Robo con violencia,1,7379
2018,Michoacán de Ocampo,Homicidio,1,2276
2018,Michoacán de Ocampo,Narcomenudeo,1,2240
2018,Michoacán de Ocampo,Violencia familiar,1,1273
2018,Michoacán de Ocampo,Delitos Sexuales,0,730
2018,Michoacán de Ocampo,Secuestro,1,34
2018,Michoacán de Ocampo,Feminicidio,1,21
2018,Michoacán de Ocampo,Extorsión,1,3
2018,Morelos,Otros Delitos Contra el Patrimonio,0,20012
2018,Morelos,Otros Delitos,0,13067
2018,Morelos,Violencia familiar,1,4953
2018,Morelos,Robo con violencia,1,4083
2018,Morelos,Homicidio,1,1000
2018,Morelos,Delitos Sexuales,0,989
2018,Morelos,Narcomenudeo,1,734
2018,Morelos,Secuestro,1,46
2018,Morelos,Feminicidio,1,28
2018,Morelos,Extorsión,1,24
2018,México,Otros Delitos,0,127336
2018,México,Otros Delitos Contra el Patrimonio,0,98427
2018,México,Robo con violencia,1,97255
2018,México,Violencia familiar,1,6496
2018,México,Delitos Sexuales,0,4293
2018,México,Homicidio,1,3339
2018,México,Narcomenudeo,1,1964
2018,México,Extorsión,1,1629
2018,México,Secuestro,1,174
2018,México,Feminicidio,1,115
2018,Nayarit,Otros Delitos,0,1838
2018,Nayarit,Otros Delitos Contra el Patrimonio,0,1239
2018,Nayarit,Homicidio,1,446
2018,Nayarit,Violencia familiar,1,404
2018,Nayarit,Narcomenudeo,1,332
2018,Nayarit,Robo con violencia,1,191
2018,Nayarit,Delitos Sexuales,0,78
2018,Nayarit,Secuestro,1,9
2018,Nayarit,Extorsión,1,4
2018,Nayarit,Feminicidio,1,4
2018,Nuevo León,Otros Delitos Contra el Patrimonio,0,27229
2018,Nuevo León,Otros Delitos,0,26839
2018,Nuevo León,Violencia familiar,1,16410
2018,Nuevo León,Robo con violencia,1,3752
2018,Nuevo León,Narcomenudeo,1,2547
2018,Nuevo León,Delitos Sexuales,0,2421
2018,Nuevo León,Homicidio,1,1284
2018,Nuevo León,Extorsión,1,536
2018,Nuevo León,Feminicidio,1,79
2018,Nuevo León,Secuestro,1,28
2018,Oaxaca,Otros Delitos Contra el Patrimonio,0,14814
2018,Oaxaca,Otros Delitos,0,13352
2018,Oaxaca,Violencia familiar,1,5682
2018,Oaxaca,Robo con violencia,1,4683
2018,Oaxaca,Homicidio,1,1743
2018,Oaxaca,Delitos Sexuales,0,1201
2018,Oaxaca,Narcomenudeo,1,328
2018,Oaxaca,Extorsión,1,130
2018,Oaxaca,Feminicidio,1,29
2018,Oaxaca,Secuestro,1,27
2018,Puebla,Otros Delitos Contra el Patrimonio,0,19132
2018,Puebla,Robo con violencia,1,18552
2018,Puebla,Otros Delitos,0,12141
2018,Puebla,Violencia familiar,1,7296
2018,Puebla,Homicidio,1,1983
2018,Puebla,Delitos Sexuales,0,1569
2018,Puebla,Narcomenudeo,1,253
2018,Puebla,Extorsión,1,168
2018,Puebla,Secuestro,1,46
2018,Puebla,Feminicidio,1,32
2018,Querétaro,Otros Delitos Contra el Patrimonio,0,34617
2018,Querétaro,Otros Delitos,0,15971
2018,Querétaro,Robo con violencia,1,2718
2018,Querétaro,Violencia familiar,1,1865
2018,Querétaro,Narcomenudeo,1,1149
2018,Querétaro,Delitos Sexuales,0,876
2018,Querétaro,Homicidio,1,490
2018,Querétaro,Extorsión,1,104
2018,Querétaro,Secuestro,1,12
2018,Querétaro,Feminicidio,1,7
2018,Quintana Roo,Otros Delitos Contra el Patrimonio,0,16371
2018,Quintana Roo,Otros Delitos,0,7127
2018,Quintana Roo,Robo con violencia,1,4297
2018,Quintana Roo,Violencia familiar,1,4025
2018,Quintana Roo,Homicidio,1,936
2018,Quintana Roo,Delitos Sexuales,0,639
2018,Quintana Roo,Narcomenudeo,1,500
2018,Quintana Roo,Extorsión,1,126
2018,Quintana Roo,Secuestro,1,14
2018,Quintana Roo,Feminicidio,1,8
2018,San Luis Potosí,Otros Delitos Contra el Patrimonio,0,17333
2018,San Luis Potosí,Otros Delitos,0,8906
2018,San Luis Potosí,Violencia familiar,1,6048
2018,San Luis Potosí,Robo con violencia,1,3396
2018,San Luis Potosí,Delitos Sexuales,0,1108
2018,San Luis Potosí,Homicidio,1,899
2018,San Luis Potosí,Narcomenudeo,1,503
2018,San Luis Potosí,Extorsión,1,122
2018,San Luis Potosí,Feminicidio,1,27
2018,San Luis Potosí,Secuestro,1,20
2018,Sinaloa,Otros Delitos Contra el Patrimonio,0,6391
2018,Sinaloa,Otros Delitos,0,5563
2018,Sinaloa,Robo con violencia,1,4669
2018,Sinaloa,Violencia familiar,1,3800
2018,Sinaloa,Homicidio,1,1608
2018,Sinaloa,Narcomenudeo,1,793
2018,Sinaloa,Delitos Sexuales,0,542
2018,Sinaloa,Extorsión,1,64
2018,Sinaloa,Feminicidio,1,48
2018,Sinaloa,Secuestro,1,8
2018,Sonora,Otros Delitos Contra el Patrimonio,0,6483
